frame_time_s,f_hz,A_total_rms,B_residual_rms,thd_n_residual_over_total
5.999999999999999778e-01,2.300000000000000000e+01,4.083092091272475955e+04,1.541445900072695395e+03,3.775192588400109323e-02
6.999999999999999556e-01,2.400000000000000000e+01,4.154178564953128807e+04,1.495986583478307693e+03,3.601160999912835642e-02
7.999999999999999334e-01,2.400000000000000000e+01,4.167390446411770972e+04,1.444149558109891359e+03,3.465356982217351195e-02
8.999999999999999112e-01,2.500000000000000000e+01,4.167781562202302302e+04,1.418676146838544128e+03,3.403911950915440576e-02
9.999999999999998890e-01,2.500000000000000000e+01,4.168103483435491944e+04,1.422066568215818279e+03,3.411783257942777731e-02
1.099999999999999867e+00,2.600000000000000000e+01,4.169126781600990944e+04,1.463808016530714440e+03,3.511066209333638805e-02
1.199999999999999956e+00,2.600000000000000000e+01,4.169792266370337165e+04,1.528149981390504308e+03,3.664810819750277671e-02
1.299999999999999822e+00,2.700000000000000000e+01,4.169340599238144205e+04,1.574986829390650655e+03,3.777544174919278408e-02
1.399999999999999911e+00,2.800000000000000000e+01,4.168132032318507845e+04,1.585643449568626693e+03,3.804206386155715297e-02
1.499999999999999778e+00,2.800000000000000000e+01,4.167049174810237309e+04,1.557462421693500119e+03,3.737566696136782052e-02
1.599999999999999867e+00,2.900000000000000000e+01,4.166688882744715374e+04,1.505256299203868139e+03,3.612595856238523528e-02
1.699999999999999956e+00,3.000000000000000000e+01,4.167054233758094051e+04,1.455130560712038687e+03,3.491988534547381395e-02
1.799999999999999822e+00,3.000000000000000000e+01,4.167660639196954435e+04,1.422022505205377001e+03,3.412040058711160451e-02
1.899999999999999911e+00,3.100000000000000000e+01,4.167898035782111401e+04,1.411364318571933836e+03,3.386273623910978497e-02
1.999999999999999778e+00,3.200000000000000000e+01,4.167549979023858032e+04,1.423381112022773323e+03,3.415390623236542328e-02
2.099999999999999645e+00,3.200000000000000000e+01,4.167053413685596024e+04,1.450612064584967356e+03,3.481145837537891197e-02
2.199999999999999734e+00,3.300000000000000000e+01,4.166891580779934156e+04,1.478899734604498462e+03,3.549167781148956230e-02
2.299999999999999822e+00,3.400000000000000000e+01,4.167026840420815279e+04,1.502400105003226599e+03,3.605448590898693850e-02
2.399999999999999911e+00,3.500000000000000000e+01,4.167180410186994413e+04,1.527974286296201626e+03,3.666686190405749057e-02
2.500000000000000000e+00,3.600000000000000000e+01,4.167248611741571949e+04,1.560343512484272878e+03,3.744301475289653347e-02
2.599999999999999645e+00,3.600000000000000000e+01,4.167355059095264733e+04,1.586791597197268402e+03,3.807670752061528829e-02
2.699999999999999734e+00,3.700000000000000000e+01,4.167549469031227636e+04,1.587437730891303318e+03,3.809043522308357826e-02
2.799999999999999822e+00,3.800000000000000000e+01,4.167795298630965408e+04,1.568978732543837168e+03,3.764529253774085565e-02
2.899999999999999911e+00,3.900000000000000000e+01,4.168047247124495334e+04,1.544455908040426038e+03,3.705466412613087762e-02
2.999999999999999556e+00,4.000000000000000000e+01,4.168407873877363454e+04,1.524404660244080105e+03,3.657042943895295189e-02
3.099999999999999645e+00,4.100000000000000000e+01,4.168774818741306808e+04,1.515983959086565619e+03,3.636521580084510485e-02
3.199999999999999734e+00,4.200000000000000000e+01,4.168812727080511831e+04,1.526228446483723019e+03,3.661062624783737590e-02
3.299999999999999822e+00,4.300000000000000000e+01,4.168344438927862211e+04,1.549460903946939879e+03,3.717209378084590510e-02
3.399999999999999911e+00,4.400000000000000000e+01,4.167589712449340004e+04,1.565729706678374441e+03,3.756919022045904222e-02
3.499999999999999556e+00,4.500000000000000000e+01,4.167059706929558888e+04,1.553122668461404601e+03,3.727142824180462721e-02
3.599999999999999645e+00,4.600000000000000000e+01,4.167166574692650465e+04,1.523433301584677110e+03,3.655801308343518963e-02
3.699999999999999734e+00,4.700000000000000000e+01,4.167543023971260118e+04,1.498524588542257106e+03,3.595702743613934244e-02
3.799999999999999822e+00,4.800000000000000000e+01,4.167336219408000761e+04,1.479921461659173247e+03,3.551240849650970366e-02
3.899999999999999467e+00,4.900000000000000000e+01,4.166544246742493124e+04,1.462744858162129731e+03,3.510690806429667826e-02
3.999999999999999556e+00,5.000000000000000000e+01,4.165936498181141360e+04,1.450217257892525367e+03,3.481131453937653247e-02
4.099999999999999645e+00,5.100000000000000000e+01,4.166094909507601551e+04,1.458620900677182362e+03,3.501170598270358231e-02
4.199999999999999289e+00,5.300000000000000000e+01,4.166754093626761460e+04,1.482455280147080884e+03,3.557818020541608783e-02
4.299999999999999822e+00,5.400000000000000000e+01,4.167259493217167619e+04,1.490060985684486695e+03,3.575637629741516832e-02
4.399999999999999467e+00,5.500000000000000000e+01,4.167234443954248127e+04,1.459527415800584095e+03,3.502388539521795324e-02
4.500000000000000000e+00,5.600000000000000000e+01,4.166803319166672009e+04,1.419477451361226713e+03,3.406634157249138067e-02
4.599999999999999645e+00,5.800000000000000000e+01,4.166284603912589955e+04,1.405276510575103430e+03,3.372972910336940328e-02
4.699999999999999289e+00,5.900000000000000000e+01,4.165962659686974803e+04,1.414434775831128945e+03,3.395217123567324108e-02
4.799999999999999822e+00,6.000000000000000000e+01,4.165967563404982502e+04,1.418587822559133201e+03,3.405182111882970597e-02
4.899999999999999467e+00,6.200000000000000000e+01,4.166093279600035021e+04,1.409673534711383809e+03,3.383682121603189680e-02
5.000000000000000000e+00,6.300000000000000000e+01,4.166110814338991622e+04,1.409462258088882663e+03,3.383160748479784041e-02
5.099999999999999645e+00,6.500000000000000000e+01,4.166014186556782806e+04,1.427674926285647416e+03,3.426956468109444709e-02
5.199999999999999289e+00,6.600000000000000000e+01,4.166048983697616495e+04,1.446841923150795537e+03,3.472935457102180323e-02
5.299999999999999822e+00,6.800000000000000000e+01,4.166343728958607244e+04,1.459459877387743745e+03,3.502975203998689308e-02
5.399999999999999467e+00,6.900000000000000000e+01,4.166752255701826653e+04,1.466335146509441074e+03,3.519132063834352203e-02
5.499999999999999112e+00,7.100000000000000000e+01,4.167033774890327186e+04,1.461190945938930099e+03,3.506549322311137973e-02
5.599999999999999645e+00,7.300000000000000000e+01,4.167058526899530989e+04,1.429300159732432121e+03,3.429997804220648316e-02
5.699999999999999289e+00,7.400000000000000000e+01,4.166955362744313607e+04,1.392130560347369055e+03,3.340881864956014857e-02
5.799999999999999822e+00,7.600000000000000000e+01,4.166956540729010158e+04,1.392496445246655185e+03,3.341758983171534692e-02
5.899999999999999467e+00,7.800000000000000000e+01,4.167199355163324799e+04,1.451621130738295278e+03,3.483445371865109830e-02
5.999999999999999112e+00,8.000000000000000000e+01,4.167520666828735557e+04,1.545831040487602650e+03,3.709234252373603408e-02
6.099999999999999645e+00,8.100000000000000000e+01,4.167691382775664533e+04,1.629748852396786788e+03,3.910435545041199973e-02
6.199999999999999289e+00,8.300000000000000000e+01,4.167785065270283667e+04,1.655955949289501405e+03,3.973227801712734403e-02
6.299999999999999822e+00,8.500000000000000000e+01,4.168090917359794548e+04,1.601035745013056385e+03,3.841172797706641356e-02
6.399999999999999467e+00,8.700000000000000000e+01,4.168591806965102296e+04,1.500310990304034021e+03,3.599083478975407396e-02
6.499999999999999112e+00,8.900000000000000000e+01,4.168790068435564899e+04,1.419695103742591300e+03,3.405532733566899589e-02
6.599999999999999645e+00,9.100000000000000000e+01,4.168358920409269194e+04,1.413570224197417929e+03,3.391191236618910920e-02
