"FREQ","in"
100,6.45126
107.1773463,6.51875
114.8698355,6.59645
123.1144413,6.686
131.9507911,6.78929
141.4213562,6.90859
151.5716567,7.04661
162.4504793,7.20664
174.1101127,7.39275
186.6065983,7.61002
200,7.865
214.3546925,8.16632
229.739671,8.52576
246.2288827,8.96002
263.9015822,9.49391
282.8427125,10.1663
303.1433133,11.0418
324.9009585,12.236
348.2202253,13.9679
373.2131966,16.6524
400,20.7242
428.709385,23.4036
459.479342,18.8184
492.4577653,14.4386
527.8031643,13.0109
565.6854249,13.1432
606.2866266,13.9713
649.8019171,15.094
696.4404506,16.2399
746.4263932,17.1275
800,17.5016
857.41877,17.2898
918.958684,16.6697
984.9155307,15.9238
1055.606329,15.2632
1131.37085,14.777
1212.573253,14.4683
1299.603834,14.299
1392.880901,14.22
1492.852786,14.1839
1600,14.1513
1714.83754,14.0916
1837.917368,13.9835
1969.831061,13.8144
2111.212657,13.5792
2262.7417,13.2794
2425.146506,12.9214
2599.207668,12.5148
2785.761803,12.071
2985.705573,11.6023
3200,11.1205
3429.67508,10.6366
3675.834736,10.1602
3939.662123,9.69984
4222.425314,9.26297
4525.4834,8.85589
4850.293013,8.48413
5198.415337,8.15256
5571.523605,7.86555
5971.411146,7.62701
6400,7.44045
6859.35016,7.3089
7351.669472,7.23487
7879.324245,7.22027
8444.850629,7.26632
9050.966799,7.37362
9700.586026,7.54218
10396.83067,7.7716
11143.04721,8.06118
11942.82229,8.4102
12800,8.81805
13718.70032,9.28438
14703.33894,9.80921
15758.64849,10.393
16889.70126,11.0368
18101.9336,11.742
19401.17205,12.5106
